fips,county,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
117,Macoupin,44557,44800,45600,46200,46600,47300,47600,48200,48600,48500,49384,49902,49412,49410,49274,49182,48978,48723,48375,47679,47690,47897,47860,48082,48422,48677,48930,48866,48732,49005,48972,48788,48719,48690,48612,48418,48176,48195,48092,47630,47784,47807,47208,46892,46453,46045,45653,45446
119,Madison,250911,254000,255100,253300,252500,251300,250900,249500,250600,251500,247664,246702,244437,244885,245117,246494,247243,248041,248932,249238,249738,251778,253201,254434,255580,256665,257218,258533,258700,258739,259204,260343,261130,262566,263722,264759,266164,267382,268232,268978,269341,268500,268039,267247,266560,266209,265598,265428
121,Marion,38986,39800,40300,40700,40600,40800,41100,42100,42700,44000,43523,44534,44347,44419,44139,43675,43272,42791,42232,41561,41612,41571,41628,41768,41764,41972,42123,42062,41896,41647,41665,41393,40971,40602,40229,39941,40037,39898,39794,39465,39455,39014,38923,38646,38571,38339,38066,37902
123,Marshall,13302,13300,12900,13300,13300,13400,13600,13700,13700,13900,14479,14524,14308,14177,13805,13478,13164,13027,12967,12846,12869,12840,12904,12832,12821,12929,12949,13033,13105,13182,13137,12917,12939,12911,13007,12952,12896,12896,12725,12671,12630,12508,12301,12140,12014,11982,11898,11730
125,Mason,16180,16700,17200,17200,17700,18300,19000,19500,19800,19500,19492,19285,18797,18448,17906,17520,16994,16625,16432,16269,16277,16353,16419,16432,16374,16344,16262,16297,16194,16082,16001,15960,15847,15717,15671,15471,15153,15078,14962,14787,14645,14475,14339,14187,13898,13701,13706,13715
127,Massac,13889,13600,13800,13900,13800,14100,14400,14600,14700,15200,14990,15196,15069,14996,14951,14968,15022,14830,14915,14752,14771,14784,14891,15063,15140,15152,15208,15364,15378,15258,15136,15077,15206,15205,15444,15477,15397,15471,15408,15435,15400,15312,15143,14980,14905,14766,14469,14344
129,Menard,9685,9800,10200,10300,10600,10800,11100,11200,11400,11300,11700,11769,11682,11640,11603,11592,11489,11404,11334,11164,11130,11229,11352,11575,11795,12006,12154,12246,12281,12390,12476,12503,12525,12562,12641,12556,12570,12746,12780,12720,12693,12709,12709,12608,12570,12444,12399,12245
131,Mercer,17294,17300,17300,17700,17800,18200,18600,18700,19000,19600,19286,19586,19468,19254,18977,18584,18106,17893,17771,17290,17261,17219,17156,17072,17083,17083,17026,17011,16979,16948,16937,16910,16914,16829,16795,16694,16642,16598,16650,16438,16425,16350,16176,16123,15945,15858,15630,15618
133,Monroe,18831,18300,19000,19100,19200,19300,19500,19500,19800,19800,20117,20467,20341,20391,20605,20701,20901,21347,21684,22422,22560,22994,23465,23924,24228,24790,25408,25889,26664,27247,27764,28302,29070,29771,30422,31007,31644,32139,32533,32848,33009,33233,33331,33570,33722,33879,33878,34097
135,Montgomery,30260,30500,31000,31100,31100,31300,31600,32000,32200,31800,31686,32726,32662,32537,32023,31898,31602,31422,31328,30728,30630,30687,30795,30504,30651,30702,30690,31072,31053,30748,30657,30516,30550,30355,30394,30288,30378,30295,30276,30124,30095,29839,29725,29671,29359,28898,29079,28790
